Name,Album Artist,Spotify URI
Slow Dancing in a Burning Room,John Mayer,spotify:track:2jdAk8ATWIL3dwT47XpRfu
Clarity,John Mayer,spotify:track:6atVS7UZBxoyJkkteM62u5
Something's Missing,John Mayer,spotify:track:4ibzxSKw3a6rtIorruN5GO
Only Heart,John Mayer,spotify:track:3Ngl8Fn5UtCl2K7UD7EF9e
Love on the Weekend,John Mayer,spotify:track:0oiCeOPwm4zhwfyIpAE37y
Moving On and Getting Over,John Mayer,spotify:track:1crSsvtU9wZB15dIQXV2QH
New Light,John Mayer,spotify:track:4T6FWA703h6H7zk1FoSARw
Why You No Love Me,John Mayer,spotify:track:3hwjxbqGvTRUPi38fLgeM7
Wait,Maroon 5,spotify:track:6ZvTAJHxse3tRAekHb2F7L
Stray Heart,Green Day,spotify:track:2Q22sa3Y4lKXHHBBAxEhYY
Burnout,Green Day,spotify:track:7dVDWf0wud70V4PgYfKnaG
She,Green Day,spotify:track:4wsQGsdf8D0Bj26cGdvreB
When I Come Around,Green Day,spotify:track:1Dr1fXbc2IxaK1Mu8P8Khz
In the End,Green Day,spotify:track:4GSyhhe5HHAytp7KlmWlZX
Wake Me Up When September Ends,Green Day,spotify:track:3ZffCQKLFLUvYM59XKLbVm
Oh Love,Green Day,spotify:track:1qIgyDoc2rwtq8w49jeWL8
Blueslides,ScHoolboy Q,spotify:track:7u1P36qRqrSNrXAp98cyp1
Something to Rap About,Freddie Gibbs & The Alchemist,spotify:track:5OkYfk72CNL8XLqa3gp9q7
Frank Lucas,Freddie Gibbs & The Alchemist,spotify:track:2pFC6DEdMhxQWUTptwVyS4
Gang Signs,Freddie Gibbs,spotify:track:6snYsavG9vq3C7RGN98dst
I Don't Fuck With You,Big Sean,spotify:track:7FYH5AW3bVfZHJIQpq3UOA
Play No Games,Big Sean,spotify:track:3rsOs39rDAYxIOrDTHAgR9
Stay Down,Big Sean,spotify:track:2g2cBOrUa5n9ee1RtOISVT
Body Language,Big Sean,spotify:track:6FXsrAH7Zol1jusSeJIoYA
Guard Your Heart,Big Sean,spotify:track:7LYgVPxRvlN7OavmyrnOGe
Single Again,Big Sean,spotify:track:7IP0lO9tHfNwBWZ9X6TJ84
Go Legend,Big Sean & Metro Boomin,spotify:track:3wAI7MIQtTgwcRmwchPZBc
Pull Up N Wreck,Big Sean & Metro Boomin,spotify:track:7DuvVy7JfFgXwWlVzyyPys
So Good,Big Sean & Metro Boomin,spotify:track:0fWBFDRTIuk8ZgNdZqhCer
What A Life,Big Sean & Hit-Boy,spotify:track:5bjTLWk5cBOACEVPl3oqkU
Velvet,Green Assassin Dollar,spotify:track:7ccskGFuoYDiRgQaMW4nw6
Hardcore,Green Assassin Dollar,spotify:track:6bLpUqJzeVbTa4cmaowGyc
Never Broke,Green Assassin Dollar,spotify:track:1I6JJoC7145JbRQNLCyzEc
Lookin'&For,7SEEDS & Green Assassin Dollar,spotify:track:3DsZ88Bivs6EaLcrvUtZox
Amanojack,owls,spotify:track:190JRLVTsLXkNRWVylkv0p
Tokyo,Green Assassin Dollar,spotify:track:6hQyuCU8Smi3YfykD73iON
Tekitou Ill Feat.Maten,CHUCKIE & Green Assassin Dollar,
Grow Up Mind,Green Assassin Dollar,spotify:track:0AXw88RvVHr8Z8WRLzv1ki
Crazy 4 U,Green Assassin Dollar,spotify:track:6jGIht5PgUWhkCMQim0GnG
aLL I Need,Green Assassin Dollar,spotify:track:4kiqIUgQY27pFV7RrOo7IK
Die Hard,Kendrick Lamar,spotify:track:2g6tReTlM2Akp41g0HaeXN
Every Good Girl,Blxst,spotify:track:6VYBCG9nCZwUUImVqZQVet
Overrated,Blxst,spotify:track:6Fc9IYSkbmVwv4dlzn8hJb
Be Alone,Blxst,spotify:track:7tjtWVu8RsshzPxQm8oT3y
2 Phones,Kevin Gates,spotify:track:0wdKiSBUT7aZkXUIdJWcwC
Really Really,Kevin Gates,spotify:track:10I3CmmwT0BkOVhduDy53o
Big Gangsta,Kevin Gates,spotify:track:03ERnTvSV5fy8WAyvA4uNP
POP STAR,DaBaby,spotify:track:2TsD9kSbgYx5fSNRsoNURE
RBS Intro,Kevin Gates,spotify:track:15NisPU0HnPVuyJwlnksPh
Eternal Love,EXILE TAKAHIRO,spotify:track:2wR4PeVKTzRNzx69MybecA
Osmanthus,Aina The End,
Jikanyo Tomare,Eikichi Yazawa,spotify:track:4MpIgtozqPyjH2BJEa05yO
