Name,Artist,Spotify URI
Mood 8,Green Assassin Dollar,
Liability,Drake,
Keibetsu to Hajimari,DIR EN GREY,
One More Night,Kel-P,
Holiday Road,Lindsey Buckingham,
Mati Kara Mati,唾奇 × Sweet William,
Kata,REAL-T,
HOTEL LOBBY,Quavo & Takeoff,
Science Student,Olamide,
"Whiskey Ga, Osuki Desho",Ryota Fujimaki,
Last Kiss,Pearl Jam,
Outta Time,Bryson Tiller,
On the Low,Burna Boy,
Beaucoup de bruit pour rien,Tokyo Incidents,
woman,Omah Lay,
Crew,GoldLink,
What's Going On,Marvin Gaye,
Saino Kawara,BRAHMAN,
Peaceful Dub,Harry Mosco,
"6, 8, 12",Brian McKnight,
ALYGATYR,Kasabian,
Not Around,Nova,
Primal,Original Love,
Die Young,Sleepy Hallow,
Towa,SUGIZO,
Small Things,Rich The Kid,
Loveeeeeee Song,Rihanna,
Stupid,The Birthday,
Touch the Sky,Kanye West,
Plastic Love,Friday Night Plans,
Jimmy Cooks,Drake,
TO THE MOON,JNR CHOI & Sam Tompkins,
明日は来るから ~TOMORROW Version~,TVXQ!,
Pound Cake / Paris Morton Music 2,Drake,
All Things Happen For A Reason,Syreeta & G.C. Cameron,
Waterfall,Disclosure & RAYE,
Akarino Tomoru Tokoroe,Koji Tamaki,
good 4 u,Olivia Rodrigo,
F****n' Sound,Lucky Daye,
Recognize,PARTYNEXTDOOR,
Driver's High,L'Arc〜en〜Ciel,
Down Hearted,Sleepy Hallow,
Superwoman,Karyn White,
Out of Time,The Weeknd,
Dubai Shit,"HUNCHO JACK, Travis Scott & Quavo",
Kanashimini Sayonara,Anzenchitai,
Sharing Locations,Meek Mill,
Noudouteki Sanpunkan - 3 Min.,Tokyo Incidents,
Still Into You,Paramore,
Love Song,LUNA SEA,
mOBSCENE,Marilyn Manson,
Frozen,Lil Baby,
Need Some,NAV & Metro Boomin,
Ocean Drive,21 Savage & Metro Boomin,
Plastic Love,Mariya Takeuchi,
Sticky,Drake,
Mikuni Eki,aiko,
Osorubeki Otona Tachi - Les Adultes Terribles,Tokyo Incidents,
I Don't Wanna Go Out,Wet Leg,
Good for Us,Lydia Persaud,
BAE BAE,BIGBANG,
Race My Mind,Drake,
Let's Fall in Love for the Night,FINNEAS,
Reason with Me,Rudeboy,
Slippery,Migos,
Peru,"Fireboy DML, 21 Savage & Blxst",
The Moon of Seoul,Kim Gun Mo,
Ye,Burna Boy,
Try Me,The Weeknd,
In The Bible,Drake,
The Big Sleep is Over,Big Boi & Sleepy Brown,
Yumeno Tsuzuki,Anzenchitai,
The Heart Part 5,Kendrick Lamar,
Sweet Insomnia,Gallant,
X,21 Savage & Metro Boomin,
Hopscotch,"88rising, AUGUST 08 & Joji",
Countless Times,Marzz,
"Cool, Calm & Collected",Pressa,
It Doesn't Matter,Tory Lanez,
I Have Nothing,Whitney Houston,
Slow It Down,Ty Dolla $ign,
City of Gods,"Fivio Foreign, Kanye West & Alicia Keys",
t r a n s p a r e n t s o u l,WILLOW,
Ven Devórame Otra Vez,Lalo Rodríguez,
Felices los 4,Maluma,
In Arms Reach,P6X DRU,
Tobey,"Eminem, Big Sean & BabyTron",
Last Resort,Papa Roach,
Sleepwalking,Bring Me The Horizon,
Fuck,Bring Me The Horizon,
The House of Wolves,Bring Me The Horizon,
Shadow Moses,Bring Me The Horizon,
TAKA,"Ahadadream, Priya Ragu, Skrillex & contra",
How Am I Supposed to Live Without You,Michael Bolton,
Arthur's Theme,Christopher Cross,
Pimp Juice,Nelly,
Dear Moon,JeHwi,
Dong-Feng-Po,Jay Chou,
我懷念的,Yanzi Sun,
11,G.E.M.,
TBH,PARTYNEXTDOOR,
Joy,PARTYNEXTDOOR,
Not Nice,PARTYNEXTDOOR,
Tap,NAV,
On Hold,The xx,
Freaking Out the Neighborhood,Mac DeMarco,
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,
Hey Daddy,USHER,
Same Girl,R. Kelly,
I'm a Flirt Remix,R. Kelly,
"Love In This Club, Pt. II",USHER,
Your Heart,Joyner Lucas & J. Cole,
Imazine,Tsubaki,
Baka Survivor,Ulfuls,
'Tis A Pity She Was A Whore,David Bowie,
No Love Lost,Shaquille O'Neal,
Take The Lead,PARIS. & Roy Woods,
Hello B*tch,Tyga,
Floating,Alina Baraz,
The Light,MihTy,
Let Me Go,Daniel Caesar,
Universe,Ty Dolla $ign,
Walk,Comethazine,
Talk My Shit,Bossman Dlow,
Mr Pot Scraper,Bossman Dlow,
Rules,Sauce Walka,
Scratched My Rolls,Sauce Walka,
Where My Soda?,Sauce Walka,
Not Alike,Eminem,
Bang,Conway the Machine,
Deeper Deeper,ONE OK ROCK,
Lost and Found,ONE OK ROCK,
Pierce,ONE OK ROCK,
Koubou,ONE OK ROCK,
Adult Suit,ONE OK ROCK,
Kanzen Kankaku Dreamer,ONE OK ROCK,
Feels Like Summer,Childish Gambino,
Redbone,Childish Gambino,
This Is America,Childish Gambino,
Finesse,Bossman Dlow,
Nwanem Ebezina,Chief Stephen Osita Osadebe,
ASAP,Shallipopi,
Hightension,Shallipopi,
Billion,Shallipopi,
Continental,King Promise,
Mnike,Tyler ICU & Tumelo.za,
Grindin',Clipse,
Never Freestyle,Coast Contra,
Stop! In the Name of Love,The Supremes,
Ain't No Love In the Heart of the City,Black Pumas,
Pink As Floyd,Red Hot Chili Peppers,
(Sittin' On) The Dock of the Bay,Otis Redding,
Uten Kekkou - Life Will Be Held Even If It Rains,Tokyo Incidents,
Ss/Aw,Tokyo Incidents,
Cliffs of Dover,Eric Johnson,
Heaven Knows I'm Miserable Now,The Smiths,
Igbo Highlife Medley,Enkay Ogboruche,
You Are,Gabriel Eziashi,
Rejoice,Enkay Ogboruche,
Aggressive -2019 Ver.-,KREVA,
Pussy & Millions,Drake & 21 Savage,
Eyes Eyes Eyes,XinU,
Omoi Omoware,XinU,
Renaissance,Eminem,
Habits,Eminem & White Gold,
Trouble,Eminem,
Brand New Dance,Eminem,
Evil,Eminem,
Antichrist,Eminem,
20th Century Boy,T. Rex,
Starman,David Bowie,
Fuel,Eminem & JID,
Road Rage,"Eminem, Dem Jointz & Sly Pyper",
Houdini,Eminem,
